#NSGA2
popsize 50
maxGen 200
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	0.0298985
firstFrontCount	22
frontCount	5
avgEvalTime	1.115e-05
#end
Var1	Var2	Obj1	Obj2	
4.58812	3.98324	147.668	1.20345	
3.99012	3.91535	125.004	2.19633	
1.05496	1.33598	11.5911	28.9884	
2.79301	2.4841	55.8866	11.2006	
3.08706	2.82904	70.1337	8.37239	
3.31935	2.71509	73.5592	8.0454	



#Generation 11 / 200
currentGen	11
evaluateCount	550
totalTime	1.31914
firstFrontCount	50
frontCount	1
avgEvalTime	1.6442e-05
#end
Var1	Var2	Obj1	Obj2	
0	0	0	50	
0	0	0	50	
4.73215	4.60913	174.549	0.224525	
4.56504	4.29987	157.314	0.679379	
3.03517	3.51051	86.1436	6.07915	
2.53301	3.74496	81.7634	7.66117	
1.36973	1.56877	17.3488	24.9522	
2.31101	1.55447	31.0286	19.1023	
2.40981	2.30964	44.5666	13.9471	
2.32254	1.93144	36.4987	16.5848	
4.58812	3.98324	147.668	1.20345	
2.18599	2.31067	40.471	15.1511	
1.64896	1.05584	15.3354	26.7859	
1.23714	1.06728	10.6784	29.6254	
1.12584	0.848286	7.9484	32.2459	
0.0146324	0.233448	0.218848	47.5739	
2.69615	3.01725	65.492	9.23903	
0.472389	0.390868	1.50372	41.7434	
0.751629	0.951207	5.87896	34.4414	
3.81874	4.25008	130.584	1.95774	
2.36852	2.57373	48.936	12.8114	
2.65851	2.9131	62.2153	9.83772	
0.600197	0	1.44095	44.3583	
3.08706	2.82904	70.1337	8.37239	
1.33267	1.19175	12.7851	27.9521	
4.40698	4.06059	143.639	1.23416	
2.65886	2.72164	57.9075	10.6719	
3.66444	4.01519	118.2	2.75356	
4.45706	4.66767	166.61	0.405225	
1.97959	1.55115	25.2993	21.0175	
0.27988	0.961494	4.01122	38.5891	
3.70767	3.57239	106.035	3.70818	
0.608711	0.900632	4.72666	36.0882	
4.61108	4.45296	164.364	0.450514	
3.00229	3.73994	92.0035	5.57861	
0.497062	0.617414	2.51308	39.4835	
1.70906	1.99289	27.5699	19.873	
1.72383	1.45254	20.3257	23.3178	
2.88944	3.2037	74.4504	7.68113	
0.959376	0.455615	4.51195	36.9781	
0.383709	0	0.588931	46.3101	
3.93787	3.03234	98.8078	4.99978	
3.34147	3.83021	103.344	4.1191	
4.25574	4.02739	137.325	1.4999	
2.32335	1.98215	37.3075	16.2719	
0.353057	0.617212	2.0224	40.8029	
