#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0399441
firstFrontCount	20
frontCount	8
avgEvalTime	8.1488e-05
#end
Var1	Var2	Obj1	Obj2	
0.6883	0.370657	2.44458	40.0216	
3.65074	3.46765	101.41	4.16859	
1.42943	1.0063	12.2237	28.6986	
1.09439	0.946824	8.37666	31.682	
3.90219	4.10406	128.281	2.00791	
1.65136	2.07925	28.2011	19.7442	
0.3011	0.924177	3.77906	38.692	
3.86307	3.84275	118.76	2.63182	
1.39568	1.68569	19.158	23.9757	
3.8498	3.59535	110.99	3.29599	
3.70796	3.51053	104.291	3.88791	
4.34339	4.68795	163.368	0.528509	
0.222517	0.125791	0.261349	46.5823	
1.5768	1.95755	25.2733	20.9748	
0.420949	0.401673	1.35416	42.1123	
4.11538	3.94323	129.941	1.89932	
4.6949	4.59113	172.482	0.260262	
2.20394	1.95405	34.7026	17.0958	
1.0039	1.16878	9.49546	30.6471	
0.692784	0.709753	3.9348	36.9583	
3.08166	3.30647	81.7175	6.54807	
0.62236	1.17824	7.10234	33.7696	
2.22159	2.20299	39.1544	15.5429	
4.88418	4.85377	189.657	0.0347974	
2.31304	2.77095	52.1134	12.1884	
